event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
bipad-448,Government of Nepal BIPAD Portal,2015,7,4,Eastern Region,Khotang,Halesi Tuwachung,FLOOD,0,0,2,0,3,0,0,0.0,False,27.15572,86.7091,,,,,,,,,,,,,True,True,False,True
bipad-449,Government of Nepal BIPAD Portal,2015,7,4,Eastern Region,Khotang,Halesi Tuwachung,FLOOD,0,0,0,0,1,0,0,0.0,False,27.15572,86.7091,,,,,,,,,,,,,True,True,False,True
bipad-455,Government of Nepal BIPAD Portal,2015,7,3,Eastern Region,Khotang,Halesi Tuwachung,FLOOD,0,0,0,0,0,0,0,0.0,False,27.15572,86.7091,,,,,,,,,,,,,True,True,False,True
bipad-456,Government of Nepal BIPAD Portal,2015,7,3,Eastern Region,Khotang,Halesi Tuwachung,FLOOD,0,0,0,0,0,0,0,0.0,False,27.15572,86.7091,,,,,,,,,,,,,True,True,False,True
bipad-467,Government of Nepal BIPAD Portal,2015,7,8,Mid-Western Region,Bardiya,Barbardiya,FLOOD,0,2,0,0,0,0,0,0.0,False,28.36918,81.41147,,,,,,,,,,,,,True,True,False,True
bipad-468,Government of Nepal BIPAD Portal,2015,7,15,Central Region,Sarlahi,Haripur,FLOOD,0,0,0,0,0,0,0,0.0,False,26.96729,85.57183,,,,,,,,,,,,,True,True,False,True
bipad-474,Government of Nepal BIPAD Portal,2015,7,16,Mid-Western Region,Bardiya,Barbardiya,FLOOD,0,0,0,0,2,0,0,0.0,False,28.36918,81.41147,,,,,,,,,,,,,True,True,False,True
bipad-495,Government of Nepal BIPAD Portal,2015,7,31,Far Western Region,Kanchanpur,Shuklaphanta National Park,FLOOD,0,0,0,0,3,0,0,0.0,False,28.84298,80.31147,,,,,,,,,,,,,True,True,False,True
bipad-496,Government of Nepal BIPAD Portal,2015,7,31,Far Western Region,Kanchanpur,Shuklaphanta National Park,FLOOD,0,0,0,0,3,0,0,0.0,False,28.84298,80.31147,,,,,,,,,,,,,True,True,False,True
bipad-500,Government of Nepal BIPAD Portal,2015,7,23,Eastern Region,Sankhuwasabha,Khandbari,FLOOD,0,0,0,0,0,0,0,0.0,False,27.3868814825,87.2156945863,,,,,,,,,,,,,True,True,False,True
bipad-545,Government of Nepal BIPAD Portal,2015,8,21,Mid-Western Region,Rolpa,Rolpa,FLOOD,0,0,0,0,0,0,0,0.0,False,28.32432,82.65523,,,,,,,,,,,,,True,True,False,True
bipad-546,Government of Nepal BIPAD Portal,2015,8,21,Mid-Western Region,Rolpa,Rolpa,FLOOD,0,0,0,0,0,4,0,0.0,False,28.32432,82.65523,,,,,,,,,,,,,True,True,False,True
bipad-547,Government of Nepal BIPAD Portal,2015,8,21,Central Region,Chitwan,Bharatpur,FLOOD,0,0,0,0,0,0,0,0.0,False,27.61645,84.36001,,,,,,,,,,,,,True,True,False,True
bipad-559,Government of Nepal BIPAD Portal,2015,9,1,Central Region,Sindhuli,Kamalamai,FLOOD,0,1,2,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,True,True,False,True
bipad-560,Government of Nepal BIPAD Portal,2015,8,30,Eastern Region,Okhaldhunga,Molung,FLOOD,0,0,2,0,2,0,0,0.0,False,27.33592,86.44629,,,,,,,,,,,,,True,True,False,True
bipad-1608,Government of Nepal BIPAD Portal,2016,5,4,Central Region,Makwanpur,Makawanpurgadhi,FLOOD,2,0,0,0,0,0,0,0.0,False,27.4427,85.08797,,,,,,,,,,,,,True,True,False,True
bipad-1646,Government of Nepal BIPAD Portal,2016,5,10,Far Western Region,Baitadi,Surnaya,FLOOD,0,0,0,0,0,1,0,0.0,False,29.50844,80.57647,,,,,,,,,,,,,True,True,False,True
bipad-1726,Government of Nepal BIPAD Portal,2016,5,12,Mid-Western Region,Rolpa,Rolpa,FLOOD,1,0,0,0,0,12,0,0.0,False,28.32432,82.65523,,,,,,,,,,,,,True,True,False,True
bipad-1727,Government of Nepal BIPAD Portal,2016,5,13,Mid-Western Region,Dailekh,Mahabu,FLOOD,2,0,0,0,0,5,0,0.0,False,28.88537,81.67138,,,,,,,,,,,,,True,True,False,True
bipad-1765,Government of Nepal BIPAD Portal,2016,5,12,Mid-Western Region,Salyan,Sharada,FLOOD,0,0,0,0,0,27,0,0.0,False,28.4,82.09154,,,,,,,,,,,,,True,True,False,True
bipad-1775,Government of Nepal BIPAD Portal,2016,5,14,Far Western Region,Bajhang,Surma,FLOOD,1,0,0,0,0,0,0,0.0,False,29.7171,81.15534,,,,,,,,,,,,,True,True,False,True
bipad-1796,Government of Nepal BIPAD Portal,2016,5,17,Central Region,Sindhuli,Kamalamai,FLOOD,0,1,0,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,True,True,False,True
bipad-1820,Government of Nepal BIPAD Portal,2016,5,14,Far Western Region,Bajhang,Surma,FLOOD,1,0,0,0,0,0,0,0.0,False,29.7171,81.15534,,,,,,,,,,,,,True,True,False,True
bipad-1822,Government of Nepal BIPAD Portal,2016,5,17,Eastern Region,Sankhuwasabha,Khandbari,FLOOD,1,0,0,0,0,0,0,0.0,False,27.3868814825,87.2156945863,,,,,,,,,,,,,True,True,False,True
bipad-1846,Government of Nepal BIPAD Portal,2016,5,21,Central Region,Chitwan,Bharatpur,FLOOD,2,0,0,0,0,0,0,0.0,False,27.61645,84.36001,,,,,,,,,,,,,True,True,False,True
bipad-1862,Government of Nepal BIPAD Portal,2016,5,24,Central Region,Sindhuli,Kamalamai,FLOOD,0,0,2,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,True,True,False,True
bipad-1863,Government of Nepal BIPAD Portal,2016,5,24,Central Region,Sindhuli,Kamalamai,FLOOD,1,0,0,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,True,True,False,True
bipad-1866,Government of Nepal BIPAD Portal,2016,5,25,Far Western Region,Bajura,Gaumul,FLOOD,2,0,7,0,16,63,0,0.0,False,29.5579,81.49045,,,,,,,,,,,,,True,True,False,True
bipad-1869,Government of Nepal BIPAD Portal,2016,5,25,Far Western Region,Baitadi,Surnaya,FLOOD,0,1,0,0,0,0,0,0.0,False,29.50844,80.57647,,,,,,,,,,,,,True,True,False,True
bipad-1872,Government of Nepal BIPAD Portal,2016,5,25,Far Western Region,Dadeldhura,Alital,FLOOD,0,1,0,0,0,0,0,0.0,False,29.20864,80.48616,,,,,,,,,,,,,True,True,False,True
bipad-1877,Government of Nepal BIPAD Portal,2016,5,28,Western Region,Lamjung,Marsyangdi,FLOOD,1,0,0,0,0,0,0,0.0,False,28.28362,84.43609,,,,,,,,,,,,,True,True,False,True
bipad-1881,Government of Nepal BIPAD Portal,2016,5,28,Far Western Region,Bajura,Gaumul,FLOOD,1,0,0,0,0,0,0,0.0,False,29.5579,81.49045,,,,,,,,,,,,,True,True,False,True
bipad-1883,Government of Nepal BIPAD Portal,2016,5,25,Far Western Region,Baitadi,Surnaya,FLOOD,1,0,0,0,0,0,0,0.0,False,29.50844,80.57647,,,,,,,,,,,,,True,True,False,True
bipad-1884,Government of Nepal BIPAD Portal,2016,5,25,Eastern Region,Sunsari,Inaruwa,FLOOD,0,0,0,0,0,5,0,0.0,False,26.64064,87.12722,,,,,,,,,,,,,True,True,False,True
bipad-1925,Government of Nepal BIPAD Portal,2016,6,4,Far Western Region,Kailali,Gauriganga,FLOOD,0,1,0,0,0,0,0,0.0,False,28.74013,80.89463,,,,,,,,,,,,,True,True,False,True
bipad-1959,Government of Nepal BIPAD Portal,2016,6,8,Far Western Region,Doti,Shikhar,FLOOD,0,0,0,0,1,0,0,0.0,False,29.18116,80.84086,,,,,,,,,,,,,True,True,False,True
bipad-1964,Government of Nepal BIPAD Portal,2016,6,11,Western Region,Myagdi,Raghuganga,FLOOD,0,0,0,0,0,0,0,0.0,False,28.54637,83.48729,,,,,,,,,,,,,True,True,False,True
bipad-1995,Government of Nepal BIPAD Portal,2016,6,20,Far Western Region,Doti,Shikhar,FLOOD,0,0,0,0,0,0,0,0.0,False,29.18116,80.84086,,,,,,,,,,,,,True,True,False,True
bipad-1996,Government of Nepal BIPAD Portal,2016,6,19,Mid-Western Region,Dailekh,Mahabu,FLOOD,2,0,0,0,0,0,0,0.0,False,28.88537,81.67138,,,,,,,,,,,,,True,True,False,True
bipad-2015,Government of Nepal BIPAD Portal,2016,6,21,Eastern Region,Morang,Belbari,FLOOD,0,0,0,0,18,0,0,0.0,False,26.61037,87.46726,,,,,,,,,,,,,True,True,False,True
bipad-2016,Government of Nepal BIPAD Portal,2016,6,21,Far Western Region,Bajura,Gaumul,FLOOD,0,0,0,0,0,2,0,0.0,False,29.5579,81.49045,,,,,,,,,,,,,True,True,False,True
bipad-2017,Government of Nepal BIPAD Portal,2016,6,21,Mid-Western Region,Humla,Simkot,FLOOD,0,0,0,0,2,0,0,0.0,False,30.02618,81.88546,,,,,,,,,,,,,True,True,False,True
bipad-2018,Government of Nepal BIPAD Portal,2016,6,21,Eastern Region,Sunsari,Inaruwa,FLOOD,0,0,0,0,0,0,0,0.0,False,26.64064,87.12722,,,,,,,,,,,,,True,True,False,True
bipad-2019,Government of Nepal BIPAD Portal,2016,6,22,Eastern Region,Jhapa,Barhadashi,FLOOD,0,0,0,0,0,0,0,0.0,False,26.58323,87.91446,,,,,,,,,,,,,True,True,False,True
bipad-2020,Government of Nepal BIPAD Portal,2016,6,21,Eastern Region,Sunsari,Inaruwa,FLOOD,0,0,0,0,0,0,0,0.0,False,26.64064,87.12722,,,,,,,,,,,,,True,True,False,True
bipad-2021,Government of Nepal BIPAD Portal,2016,6,21,Eastern Region,Jhapa,Barhadashi,FLOOD,0,0,0,0,0,0,0,0.0,False,26.58323,87.91446,,,,,,,,,,,,,True,True,False,True
bipad-2022,Government of Nepal BIPAD Portal,2016,6,21,Eastern Region,Morang,Belbari,FLOOD,0,0,0,0,0,0,0,0.0,False,26.61037,87.46726,,,,,,,,,,,,,True,True,False,True
bipad-2023,Government of Nepal BIPAD Portal,2016,6,21,Eastern Region,Sunsari,Inaruwa,FLOOD,0,0,0,0,0,0,0,0.0,False,26.64064,87.12722,,,,,,,,,,,,,True,True,False,True
bipad-2024,Government of Nepal BIPAD Portal,2016,6,21,Eastern Region,Sunsari,Inaruwa,FLOOD,0,0,0,0,0,0,0,0.0,False,26.64064,87.12722,,,,,,,,,,,,,True,True,False,True
bipad-2034,Government of Nepal BIPAD Portal,2016,6,22,Eastern Region,Morang,Belbari,FLOOD,1,0,0,0,0,0,0,0.0,False,26.61037,87.46726,,,,,,,,,,,,,True,True,False,True
bipad-2037,Government of Nepal BIPAD Portal,2016,6,22,Eastern Region,Morang,Belbari,FLOOD,1,0,0,0,0,0,0,0.0,False,26.61037,87.46726,,,,,,,,,,,,,True,True,False,True
bipad-2041,Government of Nepal BIPAD Portal,2016,6,23,Central Region,Sindhuli,Kamalamai,FLOOD,1,0,0,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,True,True,False,True
bipad-2045,Government of Nepal BIPAD Portal,2016,6,25,Eastern Region,Saptari,Rupani,FLOOD,0,0,0,0,0,0,0,0.0,False,26.60701,86.75179,,,,,,,,,,,,,True,True,False,True
bipad-2053,Government of Nepal BIPAD Portal,2016,6,27,Central Region,Sarlahi,Haripur,FLOOD,1,0,0,0,0,0,0,0.0,False,26.96729,85.57183,,,,,,,,,,,,,True,True,False,True
bipad-2102,Government of Nepal BIPAD Portal,2016,7,1,Central Region,Sarlahi,Haripur,FLOOD,1,0,1,0,0,0,0,0.0,False,26.96729,85.57183,,,,,,,,,,,,,True,True,False,True
bipad-2106,Government of Nepal BIPAD Portal,2016,7,1,Central Region,Sarlahi,Haripur,FLOOD,0,0,0,0,0,0,0,0.0,False,26.96729,85.57183,,,,,,,,,,,,,True,True,False,True
bipad-2107,Government of Nepal BIPAD Portal,2016,7,1,Mid-Western Region,Salyan,Sharada,FLOOD,0,1,0,0,0,0,0,0.0,False,28.4,82.09154,,,,,,,,,,,,,True,True,False,True
bipad-2118,Government of Nepal BIPAD Portal,2016,7,2,Eastern Region,Morang,Belbari,FLOOD,1,0,0,0,0,0,0,0.0,False,26.61037,87.46726,,,,,,,,,,,,,True,True,False,True
bipad-2126,Government of Nepal BIPAD Portal,2016,7,3,Central Region,Sindhuli,Kamalamai,FLOOD,1,0,1,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,True,True,False,True
bipad-2129,Government of Nepal BIPAD Portal,2016,7,2,Mid-Western Region,Dang,Ghorahi,FLOOD,1,0,0,0,0,0,0,0.0,False,27.9672,82.44665,,,,,,,,,,,,,True,True,False,True
bipad-2131,Government of Nepal BIPAD Portal,2016,5,27,Eastern Region,Udayapur,Rautamai,FLOOD,1,0,0,0,0,0,0,0.0,False,26.93279,86.66463,,,,,,,,,,,,,True,True,False,True
bipad-5633,Government of Nepal BIPAD Portal,2014,5,24,Eastern Region,Udayapur,Rautamai,FLOOD,2,0,0,0,0,0,0,0.0,False,26.93279,86.66463,,,,,,,,,,,,,True,True,False,True
bipad-5684,Government of Nepal BIPAD Portal,2014,6,4,Mid-Western Region,Kalikot,Pachaljharana,FLOOD,1,0,0,0,0,0,0,0.0,False,29.21559,81.74506,,,,,,,,,,,,,True,True,False,True
bipad-5707,Government of Nepal BIPAD Portal,2014,6,7,Far Western Region,Bajura,Gaumul,FLOOD,3,0,1,0,11,120,0,0.0,False,29.5579,81.49045,,,,,,,,,,,,,True,True,False,True
bipad-5728,Government of Nepal BIPAD Portal,2014,6,17,Central Region,Dolakha,Bigu,FLOOD,0,0,0,0,0,0,0,0.0,False,27.82349,86.22218,,,,,,,,,,,,,True,True,False,True
bipad-5731,Government of Nepal BIPAD Portal,2014,6,18,Far Western Region,Baitadi,Surnaya,FLOOD,1,0,0,0,0,0,0,0.0,False,29.50844,80.57647,,,,,,,,,,,,,True,True,False,True
bipad-5733,Government of Nepal BIPAD Portal,2014,6,18,Central Region,Mahottari,Aurahi,FLOOD,1,0,0,0,0,0,0,0.0,False,26.88482,85.81298,,,,,,,,,,,,,True,True,False,True
bipad-5738,Government of Nepal BIPAD Portal,2014,6,19,Western Region,Gulmi,Resunga,FLOOD,0,0,0,0,0,0,0,0.0,False,28.09848,83.31058,,,,,,,,,,,,,True,True,False,True
bipad-5750,Government of Nepal BIPAD Portal,2014,6,21,Central Region,Bara,Jitpur Simara,FLOOD,2,0,0,0,0,0,0,0.0,False,27.10642,85.06984,,,,,,,,,,,,,True,True,False,True
bipad-5793,Government of Nepal BIPAD Portal,2014,7,5,Mid-Western Region,Surkhet,Barahtal,FLOOD,0,2,0,0,0,0,0,0.0,False,28.65047,81.50876,,,,,,,,,,,,,True,True,False,True
bipad-5797,Government of Nepal BIPAD Portal,2014,7,7,Mid-Western Region,Banke,Rapti Sonari,FLOOD,1,0,0,0,0,0,0,0.0,False,28.09534,81.84765,,,,,,,,,,,,,True,True,False,True
bipad-5804,Government of Nepal BIPAD Portal,2014,7,11,Mid-Western Region,Dolpa,Shey Phoksundo,FLOOD,0,0,0,0,0,0,0,0.0,False,29.21277,83.03833,,,,,,,,,,,,,True,True,False,True
bipad-5808,Government of Nepal BIPAD Portal,2014,7,12,Central Region,Chitwan,Bharatpur,FLOOD,1,0,0,0,0,0,0,0.0,False,27.61645,84.36001,,,,,,,,,,,,,True,True,False,True
bipad-5815,Government of Nepal BIPAD Portal,2014,7,14,Eastern Region,Solukhumbu,Khumbu Pasanglhamu,FLOOD,0,0,0,0,0,0,0,0.0,False,27.72488,86.68194,,,,,,,,,,,,,True,True,False,True
bipad-5821,Government of Nepal BIPAD Portal,2014,7,18,Central Region,Sindhupalchok,Jugal,FLOOD,0,0,0,0,7,0,0,0.0,False,27.90711,85.75568,,,,,,,,,,,,,True,True,False,True
bipad-5822,Government of Nepal BIPAD Portal,2014,7,19,Central Region,Sindhupalchok,Jugal,FLOOD,0,0,0,0,0,0,0,0.0,False,27.90711,85.75568,,,,,,,,,,,,,True,True,False,True
bipad-5823,Government of Nepal BIPAD Portal,2014,7,19,Far Western Region,Kanchanpur,Shuklaphanta National Park,FLOOD,1,0,0,0,0,0,0,0.0,False,28.84298,80.31147,,,,,,,,,,,,,True,True,False,True
bipad-5824,Government of Nepal BIPAD Portal,2014,7,19,Eastern Region,Dhankuta,Dhankuta,FLOOD,0,1,0,0,0,0,0,0.0,False,27.00791,87.36671,,,,,,,,,,,,,True,True,False,True
bipad-5825,Government of Nepal BIPAD Portal,2014,7,19,Far Western Region,Kanchanpur,Shuklaphanta National Park,FLOOD,0,0,0,0,0,0,0,0.0,False,28.84298,80.31147,,,,,,,,,,,,,True,True,False,True
bipad-5826,Government of Nepal BIPAD Portal,2014,7,19,Far Western Region,Kanchanpur,Shuklaphanta National Park,FLOOD,0,0,0,0,0,0,0,0.0,False,28.84298,80.31147,,,,,,,,,,,,,True,True,False,True
bipad-5829,Government of Nepal BIPAD Portal,2014,7,20,Far Western Region,Kailali,Gauriganga,FLOOD,1,0,0,0,0,0,0,0.0,False,28.74013,80.89463,,,,,,,,,,,,,True,True,False,True
bipad-5831,Government of Nepal BIPAD Portal,2014,7,20,Far Western Region,Doti,Shikhar,FLOOD,0,1,0,0,0,0,0,0.0,False,29.18116,80.84086,,,,,,,,,,,,,True,True,False,True
bipad-5832,Government of Nepal BIPAD Portal,2014,7,20,Mid-Western Region,Jajarkot,Kushe,FLOOD,0,1,0,0,0,0,0,0.0,False,28.86981,82.19935,,,,,,,,,,,,,True,True,False,True
bipad-5833,Government of Nepal BIPAD Portal,2014,7,20,Mid-Western Region,Dailekh,Mahabu,FLOOD,0,1,0,0,0,0,0,0.0,False,28.88537,81.67138,,,,,,,,,,,,,True,True,False,True
bipad-5836,Government of Nepal BIPAD Portal,2014,7,20,Far Western Region,Dadeldhura,Alital,FLOOD,1,0,0,0,21,0,0,0.0,False,29.20864,80.48616,,,,,,,,,,,,,True,True,False,True
bipad-5840,Government of Nepal BIPAD Portal,2014,7,21,Central Region,Kathmandu,Kageshwori Manahora,FLOOD,0,1,0,0,0,0,0,0.0,False,27.69912,85.37856,,,,,,,,,,,,,True,True,False,True
bipad-5845,Government of Nepal BIPAD Portal,2014,7,23,Western Region,Rupandehi,Tilottama,FLOOD,1,0,0,0,0,0,0,0.0,False,27.57833,83.42932,,,,,,,,,,,,,True,True,False,True
bipad-5846,Government of Nepal BIPAD Portal,2014,7,24,Western Region,Nawalparasi East,Madhyabindu,FLOOD,1,0,0,0,0,0,0,0.0,False,27.61064,84.00745,,,,,,,,,,,,,True,True,False,True
bipad-5849,Government of Nepal BIPAD Portal,2014,7,26,Mid-Western Region,Jajarkot,Kushe,FLOOD,0,2,0,0,0,0,0,0.0,False,28.86981,82.19935,,,,,,,,,,,,,True,True,False,True
bipad-5853,Government of Nepal BIPAD Portal,2014,7,27,Central Region,Rasuwa,Gosaikunda,FLOOD,1,0,0,0,0,0,0,0.0,False,28.1755,85.46091,,,,,,,,,,,,,True,True,False,True
bipad-5861,Government of Nepal BIPAD Portal,2014,7,29,Western Region,Kaski,Machhapuchchhre,FLOOD,0,0,1,0,0,0,0,0.0,False,28.34628,83.99007,,,,,,,,,,,,,True,True,False,True
bipad-5862,Government of Nepal BIPAD Portal,2014,7,29,Far Western Region,Achham,Kamalbazar,FLOOD,1,0,2,0,0,0,0,0.0,False,29.06417,81.30663,,,,,,,,,,,,,True,True,False,True
bipad-5865,Government of Nepal BIPAD Portal,2014,7,29,Central Region,Rasuwa,Gosaikunda,FLOOD,1,0,0,0,0,0,0,0.0,False,28.1755,85.46091,,,,,,,,,,,,,True,True,False,True
bipad-5868,Government of Nepal BIPAD Portal,2014,7,30,Central Region,Kathmandu,Kageshwori Manahora,FLOOD,0,1,0,0,0,0,0,0.0,False,27.69912,85.37856,,,,,,,,,,,,,True,True,False,True
bipad-5872,Government of Nepal BIPAD Portal,2014,8,1,Central Region,Ramechhap,Gokulganga,FLOOD,0,0,0,0,0,0,0,0.0,False,27.53685,86.18811,,,,,,,,,,,,,True,True,False,True
bipad-5882,Government of Nepal BIPAD Portal,2014,8,5,Central Region,Dolakha,Bigu,FLOOD,0,0,0,0,0,0,0,0.0,False,27.82349,86.22218,,,,,,,,,,,,,True,True,False,True
bipad-5899,Government of Nepal BIPAD Portal,2014,8,13,Eastern Region,Morang,Belbari,FLOOD,1,0,0,0,0,0,0,0.0,False,26.61037,87.46726,,,,,,,,,,,,,True,True,False,True
bipad-5909,Government of Nepal BIPAD Portal,2014,8,14,Central Region,Lalitpur,Konjyosom,FLOOD,1,0,0,0,0,0,0,0.0,False,27.54796,85.33968,,,,,,,,,,,,,True,True,False,True
bipad-5910,Government of Nepal BIPAD Portal,2014,8,14,Eastern Region,Siraha,Golbazar,FLOOD,0,1,0,0,0,0,0,0.0,False,26.7425,86.3336,,,,,,,,,,,,,True,True,False,True
bipad-5911,Government of Nepal BIPAD Portal,2014,8,14,Eastern Region,Udayapur,Rautamai,FLOOD,1,0,0,0,0,0,0,0.0,False,26.93279,86.66463,,,,,,,,,,,,,True,True,False,True
bipad-5912,Government of Nepal BIPAD Portal,2014,8,14,Central Region,Dhanusa,Dhanusadham,FLOOD,1,0,0,0,0,0,0,0.0,False,26.83206,86.05628,,,,,,,,,,,,,True,True,False,True
bipad-5913,Government of Nepal BIPAD Portal,2014,8,14,Central Region,Rautahat,Brindaban,FLOOD,0,0,0,0,0,0,0,0.0,False,26.98914,85.33443,,,,,,,,,,,,,True,True,False,True
bipad-5915,Government of Nepal BIPAD Portal,2014,8,14,Eastern Region,Udayapur,Rautamai,FLOOD,0,0,0,0,1,0,0,0.0,False,26.93279,86.66463,,,,,,,,,,,,,True,True,False,True
bipad-5920,Government of Nepal BIPAD Portal,2014,8,15,Central Region,Parsa,Thori,FLOOD,0,0,0,0,1,0,0,0.0,False,27.22317,84.73056,,,,,,,,,,,,,True,True,False,True
bipad-5932,Government of Nepal BIPAD Portal,2014,8,16,Mid-Western Region,Salyan,Sharada,FLOOD,1,0,0,0,0,0,0,0.0,False,28.4,82.09154,,,,,,,,,,,,,True,True,False,True
bipad-5939,Government of Nepal BIPAD Portal,2014,8,17,Central Region,Mahottari,Aurahi,FLOOD,0,0,0,0,0,1,0,0.0,False,26.88482,85.81298,,,,,,,,,,,,,True,True,False,True
bipad-5946,Government of Nepal BIPAD Portal,2014,8,21,Central Region,Sindhuli,Kamalamai,FLOOD,2,2,0,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,True,True,False,True
bipad-5963,Government of Nepal BIPAD Portal,2014,8,28,Central Region,Mahottari,Aurahi,FLOOD,0,0,0,0,1,0,0,0.0,False,26.88482,85.81298,,,,,,,,,,,,,True,True,False,True
bipad-5964,Government of Nepal BIPAD Portal,2014,8,28,Central Region,Mahottari,Aurahi,FLOOD,0,0,0,0,2,0,0,0.0,False,26.88482,85.81298,,,,,,,,,,,,,True,True,False,True
bipad-5976,Government of Nepal BIPAD Portal,2014,8,28,Central Region,Ramechhap,Gokulganga,FLOOD,1,0,0,0,0,0,0,0.0,False,27.53685,86.18811,,,,,,,,,,,,,True,True,False,True
bipad-6008,Government of Nepal BIPAD Portal,2014,9,25,Central Region,Rautahat,Brindaban,FLOOD,1,1,0,0,0,0,0,0.0,False,26.98914,85.33443,,,,,,,,,,,,,True,True,False,True
bipad-6009,Government of Nepal BIPAD Portal,2014,9,19,Central Region,Kathmandu,Kageshwori Manahora,FLOOD,0,0,0,0,0,0,0,0.0,False,27.69912,85.37856,,,,,,,,,,,,,True,True,False,True
bipad-6011,Government of Nepal BIPAD Portal,2014,9,19,Eastern Region,Dhankuta,Dhankuta,FLOOD,0,0,0,0,0,4,0,0.0,False,27.00791,87.36671,,,,,,,,,,,,,True,True,False,True
bipad-6012,Government of Nepal BIPAD Portal,2014,9,19,Central Region,Kathmandu,Kageshwori Manahora,FLOOD,0,0,0,0,0,0,0,0.0,False,27.69912,85.37856,,,,,,,,,,,,,True,True,False,True
bipad-6013,Government of Nepal BIPAD Portal,2014,9,19,Mid-Western Region,Rukum East,Sisne,FLOOD,1,0,0,0,0,0,0,0.0,False,28.73381,82.67046,,,,,,,,,,,,,True,True,False,True
bipad-6027,Government of Nepal BIPAD Portal,2014,9,21,Eastern Region,Khotang,Halesi Tuwachung,FLOOD,0,0,0,0,0,0,0,0.0,False,27.15572,86.7091,,,,,,,,,,,,,True,True,False,True
bipad-6030,Government of Nepal BIPAD Portal,2014,9,13,Mid-Western Region,Bardiya,Barbardiya,FLOOD,0,1,0,0,0,0,0,0.0,False,28.36918,81.41147,,,,,,,,,,,,,True,True,False,True
bipad-6050,Government of Nepal BIPAD Portal,2014,9,29,Central Region,Makwanpur,Makawanpurgadhi,FLOOD,1,0,0,0,0,0,0,0.0,False,27.4427,85.08797,,,,,,,,,,,,,True,True,False,True
bipad-6059,Government of Nepal BIPAD Portal,2014,9,23,Far Western Region,Achham,Kamalbazar,FLOOD,1,0,0,0,0,0,0,0.0,False,29.06417,81.30663,,,,,,,,,,,,,True,True,False,True
bipad-6066,Government of Nepal BIPAD Portal,2014,10,13,Mid-Western Region,Surkhet,Barahtal,FLOOD,0,2,0,0,0,0,0,0.0,False,28.65047,81.50876,,,,,,,,,,,,,True,True,False,True
bipad-6072,Government of Nepal BIPAD Portal,2014,10,14,Central Region,Chitwan,Bharatpur,FLOOD,1,0,0,0,0,0,0,0.0,False,27.61645,84.36001,,,,,,,,,,,,,True,True,False,True
bipad-6077,Government of Nepal BIPAD Portal,2014,10,14,Western Region,Arghakhanchi,Bhumikasthan,FLOOD,0,1,0,0,0,0,0,0.0,False,27.94393,83.04234,,,,,,,,,,,,,True,True,False,True
bipad-6082,Government of Nepal BIPAD Portal,2014,8,14,Mid-Western Region,Surkhet,Barahtal,FLOOD,34,91,26,0,1427,2439,0,0.0,False,28.65047,81.50876,,,,,,,,,,,,,True,True,False,True
bipad-6083,Government of Nepal BIPAD Portal,2014,8,13,Mid-Western Region,Bardiya,Barbardiya,FLOOD,33,15,2,0,3859,13517,0,0.0,False,28.36918,81.41147,,,,,,,,,,,,,True,True,False,True
bipad-6084,Government of Nepal BIPAD Portal,2014,8,13,Mid-Western Region,Banke,Rapti Sonari,FLOOD,15,5,2,0,2771,7992,0,0.0,False,28.09534,81.84765,,,,,,,,,,,,,True,True,False,True
bipad-6085,Government of Nepal BIPAD Portal,2014,8,14,Mid-Western Region,Dang,Ghorahi,FLOOD,14,4,2,0,521,374,0,0.0,False,27.9672,82.44665,,,,,,,,,,,,,True,True,False,True
bipad-32715,Government of Nepal BIPAD Portal,2016,7,5,Western Region,Baglung,Dhorpatan,FLOOD,0,0,0,0,2,0,0,0.0,False,28.35288,83.27139,,,,,,,,,,,,,True,True,False,True
bipad-32720,Government of Nepal BIPAD Portal,2016,7,5,Western Region,Kapilbastu,Buddhabhumi,FLOOD,1,0,0,0,0,0,0,0.0,False,27.62682,82.96838,,,,,,,,,,,,,True,True,False,True
bipad-32724,Government of Nepal BIPAD Portal,2016,7,4,Central Region,Sindhupalchok,Jugal,FLOOD,0,0,0,0,88,30,0,0.0,False,27.90711,85.75568,,,,,,,,,,,,,True,True,False,True
bipad-32742,Government of Nepal BIPAD Portal,2016,7,10,Mid-Western Region,Dolpa,Shey Phoksundo,FLOOD,0,0,0,0,0,1,0,0.0,False,29.21277,83.03833,,,,,,,,,,,,,True,True,False,True
